order_id,date_id,price_inr,rating,rating_count,location_id,restaurant_id,category_id,dish_id,date_id,full_date,year,month,month_name,quarter,day,week,location_id,state,city,location,restaurant_id,restaurant_name,category_id,category,dish_id,dish_name
273,30,209.00,4.00,19,5,6,2,253,30,2025-02-16,2025,2,February,1,16,7,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,253,"Hunan Chicken Dry - Mini"
275,68,379.00,5.00,10,5,6,2,255,68,2025-01-08,2025,1,January,1,8,1,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,255,"Hunan Chicken Dry - Full"
276,147,209.00,4.00,7,5,6,2,256,147,2025-08-26,2025,8,August,3,26,34,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,256,"Schezwan Chicken Dry - Mini"
277,70,169.00,4.00,19,1,7,2,257,70,2025-01-03,2025,1,January,1,3,0,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,257,"Al Faham Chicken"
278,8,315.00,4.00,1,1,7,2,258,8,2025-04-13,2025,4,April,2,13,15,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,258,"Dragon Chicken "
279,148,130.00,5.00,6,1,7,2,259,148,2025-07-17,2025,7,July,3,17,28,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,259,"Chicken Manchow Soup   "
280,51,379.00,4.00,4,5,6,2,260,51,2025-05-24,2025,5,May,2,24,20,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,260,"Schezwan Chicken Dry - Full"
282,150,307.00,4.00,1,5,6,2,262,150,2025-05-22,2025,5,May,2,22,20,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,262,"Veg Wheat Momo With Momo Chutney"
283,34,337.00,4.00,5,5,6,2,263,34,2025-07-23,2025,7,July,3,23,29,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,263,"Chicken Wheat Momo With Momo Chutney"
284,151,319.00,3.00,10,5,6,2,264,151,2025-04-25,2025,4,April,2,25,16,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,264,"Hunan Paneer Bowl"
285,172,319.00,5.00,6,5,12,2,264,172,2025-06-12,2025,6,June,2,12,23,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,264,"Hunan Paneer Bowl"
286,152,180.00,4.00,0,1,7,2,265,152,2025-07-19,2025,7,July,3,19,28,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,265,"Chicken Noodles Soup"
288,184,300.00,4.00,161,6,11,2,266,184,2025-01-01,2025,1,January,1,1,0,6,Karnataka,Bengaluru,"Kanakapura Road",11,"A2B - Adyar Ananda Bhavan",2,Recommended,266,"Kaju Masala"
289,128,35.00,5.00,3,1,7,2,267,128,2025-06-04,2025,6,June,2,4,22,1,Karnataka,Bengaluru,"Rajarajeshwari Nagar",7,"Thalassery Restaurant",2,Recommended,267,"Butter Chapati"
290,11,319.00,5.00,12,5,6,2,268,11,2025-08-03,2025,8,August,3,3,31,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,268,"Hunan Chicken Bowl"
291,175,319.00,5.00,14,5,12,2,268,175,2025-02-02,2025,2,February,1,2,5,5,Karnataka,Bengaluru,"Kengeri Satellite Town",12,"Big Bowl",2,Recommended,268,"Hunan Chicken Bowl"
292,85,269.00,4.00,0,5,6,2,269,85,2025-05-23,2025,5,May,2,23,20,5,Karnataka,Bengaluru,"Kengeri Satellite Town",6,"Chinese Wok",2,Recommended,269,"Veg Chinese Fried Rice - Half (500 ml)."
